Accession	IDList
GO:0048193	gene_Ani027087,gene_Ani016237,gene_Ani027086,gene_Ani003887,gene_Ani033109,gene_Ani011970,gene_Ani033345,gene_Ani003029,novel3410
GO:0042157	gene_Ani002202,gene_Ani013598,gene_Ani009544,gene_Ani006104,gene_Ani025634,gene_Ani008625,gene_Ani017827,gene_Ani002173,gene_Ani025638,gene_Ani025637,gene_Ani025556,gene_Ani025554,gene_Ani025555,gene_Ani025551,gene_Ani025552,gene_Ani025553,gene_Ani000162,gene_Ani009545,gene_Ani006092,gene_Ani006093,gene_Ani006105,gene_Ani002183,gene_Ani002185,gene_Ani006120,gene_Ani002124,gene_Ani015535,gene_Ani015534,gene_Ani025640,gene_Ani001118,gene_Ani001117,gene_Ani006112,gene_Ani002163,gene_Ani011051,gene_Ani025632,gene_Ani002093,gene_Ani006087,gene_Ani006086,gene_Ani006081,gene_Ani006080,novel4927,novel700,novel701
GO:0016579	gene_Ani002755,gene_Ani023146,gene_Ani012710,gene_Ani033197,gene_Ani014575,gene_Ani021947,gene_Ani029948,gene_Ani011311,gene_Ani010257,gene_Ani021830,gene_Ani011849,gene_Ani011848,gene_Ani024738,gene_Ani011774,gene_Ani006619,gene_Ani010454,gene_Ani031747,gene_Ani017172,gene_Ani031728,gene_Ani009308,gene_Ani028577,gene_Ani017615,gene_Ani017349,gene_Ani032060,gene_Ani032066,gene_Ani020227,gene_Ani008984,gene_Ani008983,gene_Ani019575,gene_Ani005574,gene_Ani000678,gene_Ani000415,gene_Ani005101,gene_Ani001456,gene_Ani027387,gene_Ani004840,gene_Ani029702,gene_Ani016949,gene_Ani029701,gene_Ani010396,gene_Ani014043,gene_Ani029957,gene_Ani023486,gene_Ani024740,gene_Ani024977,gene_Ani033196,gene_Ani006620,gene_Ani033227,gene_Ani024700,gene_Ani004067,gene_Ani027400,gene_Ani027982,gene_Ani029871,gene_Ani021829,gene_Ani013713,gene_Ani013711,gene_Ani004127,gene_Ani032073,gene_Ani004769,gene_Ani032903,gene_Ani020613,gene_Ani013129,gene_Ani030835,gene_Ani008082,gene_Ani003541,gene_Ani033303,gene_Ani001166,gene_Ani005421,gene_Ani030340,gene_Ani016583,gene_Ani027399,gene_Ani007180,gene_Ani020608,gene_Ani027373,gene_Ani017914,gene_Ani032057,gene_Ani032058,novel1938,novel5029,gene_Ani032065,gene_Ani032070,gene_Ani032072,gene_Ani010866,gene_Ani017347,gene_Ani007120,novel240,novel4833,gene_Ani010956,novel5729,gene_Ani017222,novel2014,gene_Ani003606,gene_Ani032071,gene_Ani010708
GO:0007605	gene_Ani014312,gene_Ani027104,gene_Ani026227,gene_Ani019439,gene_Ani029370,gene_Ani019330,gene_Ani000389,gene_Ani024457,gene_Ani019459,gene_Ani019455,gene_Ani028111,gene_Ani007485,gene_Ani002500,gene_Ani011110,gene_Ani023265,gene_Ani018640,gene_Ani008984,gene_Ani008983,gene_Ani008401,gene_Ani017766,gene_Ani023403,gene_Ani000780,gene_Ani017251,gene_Ani005364,gene_Ani005363,gene_Ani005362,gene_Ani017273,gene_Ani002499,gene_Ani031634,gene_Ani031631,gene_Ani019440,gene_Ani028106,gene_Ani023969,gene_Ani008400,gene_Ani028835,gene_Ani028833,gene_Ani016139,gene_Ani012315,gene_Ani019454,gene_Ani022823,gene_Ani020270,gene_Ani007486,gene_Ani013061,gene_Ani019456
GO:0051754	gene_Ani014865
GO:0042732	gene_Ani014310,gene_Ani031268
GO:0033320	gene_Ani014310
GO:0006821	gene_Ani023144,gene_Ani024699,gene_Ani019143,gene_Ani000736,gene_Ani022158,gene_Ani007198,gene_Ani017072,gene_Ani017073,gene_Ani019100,gene_Ani019102,gene_Ani026385,gene_Ani026590,gene_Ani028390,gene_Ani012973,gene_Ani012974,gene_Ani026346,gene_Ani001512,gene_Ani028084,gene_Ani028086,gene_Ani005960,gene_Ani001163,gene_Ani017531,gene_Ani028845,gene_Ani006831,gene_Ani010051,gene_Ani028007,gene_Ani021799,gene_Ani012359,gene_Ani021693,gene_Ani019275,gene_Ani009836,gene_Ani028006,gene_Ani021773,gene_Ani021851,gene_Ani007201,gene_Ani008522,gene_Ani007284,gene_Ani018636,gene_Ani028014,gene_Ani028013,gene_Ani022445,gene_Ani023969,gene_Ani029569,gene_Ani030930,gene_Ani018218,gene_Ani015202,gene_Ani007200,gene_Ani029570,gene_Ani015271,gene_Ani026589,gene_Ani006471,gene_Ani019238,gene_Ani021537,gene_Ani029371,gene_Ani015576,gene_Ani023417,gene_Ani023416,gene_Ani002873,gene_Ani019278,gene_Ani028017,gene_Ani012285,gene_Ani027294,gene_Ani026294,gene_Ani004948,gene_Ani033397
GO:1905606	gene_Ani007528,gene_Ani007524,gene_Ani015227,gene_Ani025843,gene_Ani007531,gene_Ani009609,gene_Ani025839,gene_Ani018612
GO:0007030	gene_Ani012715,gene_Ani007641,gene_Ani019616,gene_Ani019884,gene_Ani008383,gene_Ani024039,gene_Ani008394,gene_Ani003029
GO:0034067	gene_Ani012715
GO:0009404	gene_Ani012715
GO:0031584	gene_Ani012715
GO:0045046	gene_Ani012710
GO:0022904	gene_Ani012711
GO:0055085	gene_Ani012244,gene_Ani024118,gene_Ani024117,gene_Ani020439,gene_Ani002488,gene_Ani005592,gene_Ani010691,gene_Ani017675,gene_Ani020473,gene_Ani018127,gene_Ani026592,gene_Ani001578,gene_Ani016852,gene_Ani017280,gene_Ani031946,gene_Ani000567,gene_Ani008268,gene_Ani025927,gene_Ani026763,gene_Ani006050,gene_Ani000931,gene_Ani022353,gene_Ani026420,gene_Ani012512,gene_Ani001317,gene_Ani031948,gene_Ani010109,gene_Ani024186,gene_Ani010851,gene_Ani025268,gene_Ani032247,gene_Ani023792,gene_Ani022993,gene_Ani021642,gene_Ani017663,gene_Ani025476,gene_Ani003118,gene_Ani028294,gene_Ani024133,gene_Ani024132,gene_Ani019359,gene_Ani010268,gene_Ani009460,novel87,gene_Ani001431,gene_Ani020053,gene_Ani030587
GO:0043162	gene_Ani006035,gene_Ani032271
GO:0008643	gene_Ani030246,gene_Ani019968,gene_Ani027102,gene_Ani009856,gene_Ani027336,gene_Ani032556,gene_Ani020615,gene_Ani019735,gene_Ani005178,gene_Ani023048,gene_Ani016982,gene_Ani027499,gene_Ani023976,gene_Ani025617,gene_Ani020831,gene_Ani025574,gene_Ani027329,gene_Ani033282,gene_Ani023371,gene_Ani022640,gene_Ani016117,gene_Ani024726,gene_Ani025772,gene_Ani000441,gene_Ani007836,gene_Ani015574,gene_Ani010161
GO:0007416	gene_Ani006926,gene_Ani033222,gene_Ani029358,gene_Ani029359,gene_Ani003144,gene_Ani032757,gene_Ani021758,gene_Ani022300,gene_Ani015195,gene_Ani033220,gene_Ani018474,gene_Ani021678,gene_Ani033221,gene_Ani002652,gene_Ani006767,gene_Ani025909,gene_Ani021759
GO:0043627	gene_Ani024116
GO:0060294	gene_Ani029353,gene_Ani019141,gene_Ani019142,gene_Ani011495,gene_Ani019241,gene_Ani019240,gene_Ani006583
GO:0060271	gene_Ani029353,gene_Ani002978,gene_Ani003622,gene_Ani007300,gene_Ani014385,gene_Ani011495,gene_Ani033492,gene_Ani033490,gene_Ani033491,gene_Ani021561,gene_Ani005439,gene_Ani017630,gene_Ani029514,gene_Ani009136,gene_Ani013010,gene_Ani020657,gene_Ani021250,gene_Ani028658,gene_Ani010999,gene_Ani017576,gene_Ani032292,gene_Ani000786,gene_Ani003786,gene_Ani005845,gene_Ani005846,gene_Ani003740,gene_Ani019953,gene_Ani006583,gene_Ani015404,gene_Ani015088,gene_Ani019465,gene_Ani004944,gene_Ani030084,gene_Ani016138,gene_Ani016709,gene_Ani017298,gene_Ani008227,gene_Ani016198,gene_Ani005399,gene_Ani008027,gene_Ani019863,gene_Ani005401,gene_Ani003311,gene_Ani023869,gene_Ani028608,gene_Ani007399,gene_Ani025477,gene_Ani026627,gene_Ani027097,gene_Ani003882,gene_Ani031171,gene_Ani020173
GO:0006811	gene_Ani024113,gene_Ani005592,gene_Ani030784,gene_Ani018127,gene_Ani001253,gene_Ani017280,gene_Ani029992,gene_Ani020652,gene_Ani019671,gene_Ani025217,gene_Ani025319,gene_Ani024128,gene_Ani012512,gene_Ani017212,gene_Ani016986,gene_Ani024583,gene_Ani026836,gene_Ani013148,gene_Ani006534,gene_Ani010532,gene_Ani010048,gene_Ani010046,gene_Ani029493,gene_Ani012136,gene_Ani028294,gene_Ani020518,novel5809,novel1454
GO:0006777	gene_Ani024111,gene_Ani003323,gene_Ani022615,gene_Ani019387,gene_Ani022608,gene_Ani003324,gene_Ani021984,gene_Ani022788
GO:0032324	gene_Ani024111,gene_Ani022788
GO:0007529	gene_Ani024111
GO:0018315	gene_Ani024111
GO:0097112	gene_Ani024111
GO:0072579	gene_Ani024111
GO:0098970	gene_Ani024111,gene_Ani000849
GO:0030837	gene_Ani032123,gene_Ani026349,gene_Ani032953,gene_Ani028331,gene_Ani016966,gene_Ani008261,gene_Ani012840,gene_Ani011669
GO:0006601	gene_Ani032655
GO:0000902	gene_Ani023496,gene_Ani016394,gene_Ani011535,gene_Ani017083,gene_Ani002901,gene_Ani029491,gene_Ani014720,gene_Ani028994
GO:0019985	gene_Ani023369,gene_Ani023368,gene_Ani023370
GO:0070072	gene_Ani008516,gene_Ani011760
GO:0006351	gene_Ani008808,gene_Ani024516,gene_Ani016640,gene_Ani006998,gene_Ani003920,gene_Ani030278,gene_Ani016559,gene_Ani026363,gene_Ani008257,gene_Ani002333,gene_Ani020775,gene_Ani001823,gene_Ani026681,gene_Ani004699,gene_Ani004696,gene_Ani028201,gene_Ani020019,gene_Ani001384,gene_Ani032199,gene_Ani007345,gene_Ani003780,gene_Ani022498,gene_Ani003621,gene_Ani018042,gene_Ani008151,gene_Ani026841,gene_Ani003951,gene_Ani027595,gene_Ani031985,gene_Ani010843,gene_Ani009743,gene_Ani024677,gene_Ani004662,gene_Ani022547,gene_Ani027019,gene_Ani023963,gene_Ani016194,gene_Ani023621,gene_Ani027579,gene_Ani026565,gene_Ani020081,gene_Ani025971,gene_Ani029226,gene_Ani029820,gene_Ani024938,gene_Ani026867,gene_Ani032966
GO:0032012	gene_Ani029949,gene_Ani019416,gene_Ani018575,gene_Ani029453,gene_Ani003495,gene_Ani020220,gene_Ani017844,gene_Ani000377,gene_Ani006834,gene_Ani020923,gene_Ani030776,gene_Ani029511,gene_Ani027024,gene_Ani027436,gene_Ani027023,gene_Ani018577,gene_Ani001124,gene_Ani000398,gene_Ani021315,gene_Ani024257,gene_Ani000409,gene_Ani027021,gene_Ani019587,gene_Ani032879,gene_Ani030777,gene_Ani013138
GO:0042129	gene_Ani014379,gene_Ani014380,gene_Ani006975,gene_Ani010224,gene_Ani003867
GO:0055011	gene_Ani008833
GO:0000122	gene_Ani008833,gene_Ani010886,gene_Ani029842,gene_Ani009297,gene_Ani020610,gene_Ani009585,gene_Ani009586,gene_Ani008216,gene_Ani011725,gene_Ani024510,gene_Ani017865,gene_Ani032971,gene_Ani033472,gene_Ani031656,gene_Ani029778,gene_Ani025291,gene_Ani024766,gene_Ani025287,gene_Ani030954,gene_Ani030955,gene_Ani003935,gene_Ani029720,gene_Ani015823,gene_Ani017330,gene_Ani015669,gene_Ani014013,gene_Ani028343,gene_Ani032609,gene_Ani029984,gene_Ani018319,gene_Ani026504,gene_Ani009584,gene_Ani029985,gene_Ani010436,gene_Ani016470,gene_Ani029644,gene_Ani023733,gene_Ani010385
GO:0001944	gene_Ani008833,gene_Ani030783,gene_Ani014397,gene_Ani008756,gene_Ani000614,gene_Ani010063,gene_Ani024387
GO:0003209	gene_Ani008833,gene_Ani023237
GO:0048738	gene_Ani008833
GO:0045944	gene_Ani008833,gene_Ani005378,gene_Ani027661,gene_Ani031971,gene_Ani006001,gene_Ani032315,gene_Ani029842,gene_Ani003594,gene_Ani016126,gene_Ani009731,gene_Ani025084,gene_Ani003981,gene_Ani023978,gene_Ani010824,gene_Ani002620,gene_Ani006810,gene_Ani000657,gene_Ani014965,gene_Ani001436,gene_Ani004262,gene_Ani004261,gene_Ani014966,gene_Ani010774,gene_Ani020172,gene_Ani023237,gene_Ani031656,gene_Ani026787,gene_Ani024901,gene_Ani026449,gene_Ani023760,gene_Ani030269,gene_Ani030525,gene_Ani011230,gene_Ani011237,gene_Ani025291,gene_Ani008773,gene_Ani012927,gene_Ani021841,gene_Ani026971,gene_Ani003932,gene_Ani026617,gene_Ani009743,gene_Ani012571,gene_Ani029873,gene_Ani008791,gene_Ani006782,gene_Ani018432,gene_Ani025446,gene_Ani001661,gene_Ani016693,gene_Ani009435,gene_Ani004336,gene_Ani014013,gene_Ani011232,gene_Ani028914,gene_Ani032609,gene_Ani018161,gene_Ani018160,gene_Ani025811,gene_Ani024050,gene_Ani019252,gene_Ani014875,gene_Ani010491,gene_Ani016543,gene_Ani008812,gene_Ani027097,novel79,gene_Ani006870,gene_Ani029906,gene_Ani019127,gene_Ani027108
GO:0001935	gene_Ani008833,gene_Ani018067
GO:0007346	gene_Ani005651,gene_Ani031563,gene_Ani004125,gene_Ani014126,gene_Ani032266,gene_Ani003305,gene_Ani013185,gene_Ani010082,gene_Ani017725,novel2598,novel2561
GO:0007269	gene_Ani013045,gene_Ani001040,gene_Ani012390,gene_Ani020998,gene_Ani027028,gene_Ani016684,gene_Ani016682,gene_Ani018525,gene_Ani013053,gene_Ani026986,gene_Ani005544,gene_Ani001101,gene_Ani018977,novel5308
GO:0030388	gene_Ani017034,gene_Ani008766
GO:0061621	gene_Ani017034
GO:0006002	gene_Ani017034,gene_Ani027215,gene_Ani027214,gene_Ani008766,gene_Ani033572,gene_Ani015139,gene_Ani010666
GO:0009263	gene_Ani013592,gene_Ani002033,gene_Ani016179,gene_Ani008038,gene_Ani013775,gene_Ani016178,gene_Ani031259,gene_Ani021372,gene_Ani001832,gene_Ani023660
GO:0043161	gene_Ani001255,gene_Ani033193,gene_Ani032984,gene_Ani004245,gene_Ani026139,gene_Ani010396,gene_Ani026423,gene_Ani030692,gene_Ani000708,gene_Ani016799,gene_Ani015533,gene_Ani009516,gene_Ani032012,gene_Ani006474,gene_Ani017789,gene_Ani000677,gene_Ani001313,gene_Ani016767,gene_Ani025872,gene_Ani029186,gene_Ani008285
GO:0048511	gene_Ani011283,gene_Ani016507,gene_Ani032576,gene_Ani007021,gene_Ani030318,gene_Ani031834,gene_Ani001436,gene_Ani019815,gene_Ani032466,gene_Ani006542,gene_Ani028360,gene_Ani004858,gene_Ani029873,gene_Ani024496,gene_Ani003072,gene_Ani010673,gene_Ani026658,gene_Ani001661,gene_Ani005565,gene_Ani028933,gene_Ani004336,gene_Ani003133,gene_Ani025879,gene_Ani014238,gene_Ani008518,gene_Ani031715
GO:0006228	gene_Ani001257,gene_Ani001645,gene_Ani024812,gene_Ani023426,gene_Ani029850,gene_Ani016293,gene_Ani015132
GO:0006241	gene_Ani001257,gene_Ani001645,gene_Ani024812,gene_Ani023426,gene_Ani029850,gene_Ani016293,gene_Ani015132
GO:0006183	gene_Ani001257,gene_Ani001645,gene_Ani024812,gene_Ani023426,gene_Ani029850,gene_Ani016293,gene_Ani015132
GO:0060028	gene_Ani013049,gene_Ani028457,gene_Ani002378
GO:0035507	gene_Ani013049
GO:0051017	gene_Ani013049,gene_Ani010246,gene_Ani007298,gene_Ani015161,gene_Ani012394,gene_Ani000523,gene_Ani004654,gene_Ani025919,gene_Ani021523,gene_Ani028028,gene_Ani032562,gene_Ani027611,gene_Ani000763,gene_Ani021521,gene_Ani012382
GO:0070650	gene_Ani013049
GO:0008045	gene_Ani013049,gene_Ani008574,gene_Ani006823,gene_Ani024387
GO:0030155	gene_Ani013049,gene_Ani023384,gene_Ani003881,gene_Ani031329,gene_Ani026882,gene_Ani010476,gene_Ani006898,gene_Ani023025,gene_Ani014867,gene_Ani023432,gene_Ani022061
GO:0001889	gene_Ani013049,gene_Ani018838,gene_Ani000763,gene_Ani028933,gene_Ani021272,gene_Ani028272,gene_Ani006531,gene_Ani011959,gene_Ani023330,gene_Ani005396
GO:0021555	gene_Ani013049
GO:0043473	gene_Ani019370,gene_Ani004746
GO:0030318	gene_Ani019370,gene_Ani011208,gene_Ani027078
GO:0030917	gene_Ani022674,gene_Ani007593
GO:0003406	gene_Ani022674
GO:0030901	gene_Ani022674,gene_Ani031720,gene_Ani010082
GO:0030902	gene_Ani022674,gene_Ani031971,gene_Ani030380
GO:0021549	gene_Ani022674,gene_Ani006045,gene_Ani031368
GO:0097306	gene_Ani022674
GO:0036306	gene_Ani000673
GO:0001947	gene_Ani000673,gene_Ani028457,gene_Ani025981,gene_Ani026725,gene_Ani006838,gene_Ani023237,gene_Ani015088,gene_Ani013026,gene_Ani014397,gene_Ani031274
GO:0060216	gene_Ani000673,gene_Ani030961,gene_Ani017676,gene_Ani027476,gene_Ani010063,gene_Ani027097
GO:0007059	gene_Ani000673,gene_Ani014895,gene_Ani032146,gene_Ani005253,gene_Ani025233,gene_Ani015097,gene_Ani024580,gene_Ani016937,gene_Ani002917,gene_Ani018878
GO:0016925	gene_Ani000673,gene_Ani017676,gene_Ani032036,gene_Ani018237,gene_Ani032289
GO:0007156	gene_Ani025735,gene_Ani003172,gene_Ani011542,gene_Ani012996,gene_Ani004721,gene_Ani025752,gene_Ani007256,gene_Ani019439,gene_Ani025753,gene_Ani029383,gene_Ani019459,gene_Ani019455,gene_Ani023121,gene_Ani024733,gene_Ani009779,gene_Ani005253,gene_Ani005670,gene_Ani025756,gene_Ani003044,gene_Ani003045,gene_Ani009406,gene_Ani005276,gene_Ani025736,gene_Ani025737,gene_Ani011531,gene_Ani011532,gene_Ani005668,gene_Ani029358,gene_Ani025751,gene_Ani032255,gene_Ani026321,gene_Ani019772,gene_Ani025755,gene_Ani005238,gene_Ani029359,gene_Ani026683,gene_Ani030473,gene_Ani003189,gene_Ani003188,gene_Ani009819,gene_Ani009818,gene_Ani021156,gene_Ani030452,gene_Ani030450,gene_Ani009780,gene_Ani032215,gene_Ani013481,gene_Ani003165,gene_Ani003164,gene_Ani003167,gene_Ani003166,gene_Ani003169,gene_Ani003168,gene_Ani020071,gene_Ani015225,gene_Ani015226,gene_Ani006812,gene_Ani025576,gene_Ani013179,gene_Ani018523,gene_Ani018522,gene_Ani024813,gene_Ani026556,gene_Ani003178,gene_Ani019677,gene_Ani007394,gene_Ani007130,gene_Ani018408,gene_Ani018407,gene_Ani025746,gene_Ani009788,gene_Ani009787,gene_Ani009781,gene_Ani026252,gene_Ani025750,gene_Ani025740,gene_Ani025743,gene_Ani025742,gene_Ani025745,gene_Ani025744,gene_Ani025747,gene_Ani025749,gene_Ani025748,gene_Ani025754,gene_Ani007404,gene_Ani016655,gene_Ani019440,gene_Ani005288,gene_Ani012234,gene_Ani006621,gene_Ani006623,gene_Ani023131,gene_Ani023132,gene_Ani023133,gene_Ani009492,gene_Ani032999,gene_Ani025139,gene_Ani027153,gene_Ani029380,gene_Ani003071,gene_Ani011105,gene_Ani005265,gene_Ani019454,gene_Ani005671,gene_Ani025662,gene_Ani025663,gene_Ani004680,gene_Ani004671,gene_Ani026739,gene_Ani026735,gene_Ani026737,gene_Ani026736,gene_Ani020068,gene_Ani032698,gene_Ani026518,gene_Ani003170,gene_Ani003171,gene_Ani003177,gene_Ani003174,gene_Ani018555,gene_Ani018557,gene_Ani033365,gene_Ani019060,gene_Ani029323,gene_Ani006398,gene_Ani033133,gene_Ani033132,gene_Ani004706,gene_Ani018538,gene_Ani018539,gene_Ani007262,gene_Ani023130,gene_Ani026285,gene_Ani026286,gene_Ani026110,gene_Ani017549,gene_Ani009511,gene_Ani005665,gene_Ani004132,gene_Ani029379,gene_Ani009790,gene_Ani009791,gene_Ani026245,gene_Ani010493,gene_Ani010492,gene_Ani004679,gene_Ani019456,novel4942,gene_Ani012139,gene_Ani005240,gene_Ani017544,gene_Ani017548,novel4035,gene_Ani011103,gene_Ani027692,gene_Ani005241
GO:0015986	gene_Ani014218,gene_Ani008294,gene_Ani007614,gene_Ani001526,gene_Ani001380,gene_Ani021129,gene_Ani017663,gene_Ani017666,novel5772,gene_Ani028710,novel2366
GO:0050938	gene_Ani033291
GO:0048066	gene_Ani033291,gene_Ani014178,gene_Ani007087
GO:0042060	gene_Ani033291,gene_Ani020334,gene_Ani016225,gene_Ani024418,gene_Ani015762
GO:0098900	gene_Ani033296
GO:1901379	gene_Ani033296
GO:0016055	gene_Ani033528,gene_Ani005122,gene_Ani019339,gene_Ani008570,gene_Ani025012,gene_Ani014569,gene_Ani003208,gene_Ani033257,gene_Ani020858,gene_Ani000370,gene_Ani008374,gene_Ani005420,gene_Ani012314,gene_Ani006523,gene_Ani017733,gene_Ani007132,gene_Ani029270,gene_Ani000814,gene_Ani016382,gene_Ani024859,gene_Ani027691,gene_Ani029284,gene_Ani007812,gene_Ani002571,gene_Ani008174,gene_Ani016571,gene_Ani023152,gene_Ani016089,gene_Ani024947,gene_Ani002944,gene_Ani016798,gene_Ani032169,gene_Ani032171,gene_Ani012741,gene_Ani026371,gene_Ani028718,gene_Ani016863,gene_Ani009533,gene_Ani027211,gene_Ani027210,gene_Ani029615,gene_Ani029614,gene_Ani029611,gene_Ani018219,gene_Ani029838,gene_Ani027277,gene_Ani020045,gene_Ani032724,gene_Ani008075,gene_Ani032737,gene_Ani010349,gene_Ani021080,gene_Ani019780,gene_Ani004591,gene_Ani010149,gene_Ani010087,gene_Ani014439,gene_Ani024823,gene_Ani005421,gene_Ani022289,gene_Ani027351,gene_Ani015021,gene_Ani026796,gene_Ani016543,gene_Ani016766,gene_Ani016090,gene_Ani027350,gene_Ani000705,gene_Ani012969,gene_Ani027989,gene_Ani022860,gene_Ani027144,novel4058,gene_Ani009983
GO:0030282	gene_Ani022366,gene_Ani004123,gene_Ani012423,gene_Ani012435,gene_Ani032204
GO:0042552	gene_Ani022360,gene_Ani021121,gene_Ani015365,gene_Ani018275,gene_Ani014596,novel5559,gene_Ani008878
GO:0006879	gene_Ani014019,gene_Ani006053,gene_Ani030571,gene_Ani023083,gene_Ani014592,gene_Ani025927,gene_Ani014152,gene_Ani020652,gene_Ani032421,gene_Ani001032,gene_Ani031630,gene_Ani004884,gene_Ani020192,gene_Ani023078,gene_Ani006763,gene_Ani001033
GO:0090090	gene_Ani005154,gene_Ani020900,gene_Ani020903,gene_Ani026306,gene_Ani000370,gene_Ani005420,gene_Ani016382,gene_Ani004025,gene_Ani032724,gene_Ani006531,gene_Ani003136,gene_Ani004028,gene_Ani000705
GO:0007276	gene_Ani020367,gene_Ani002515,gene_Ani002580,gene_Ani009215
GO:0043666	gene_Ani003637,gene_Ani018551,gene_Ani018564,gene_Ani002397,gene_Ani013007,gene_Ani032313,gene_Ani003638
GO:0017183	gene_Ani005318,gene_Ani021834,gene_Ani021952,gene_Ani021833,gene_Ani011718,gene_Ani003871,gene_Ani017763
GO:0006851	gene_Ani005318,gene_Ani008575,gene_Ani020150,gene_Ani026508
GO:0006303	gene_Ani005315,gene_Ani029869,gene_Ani025400,gene_Ani008437
GO:0045730	gene_Ani005317,gene_Ani003747
GO:0006909	gene_Ani005317,gene_Ani025216,gene_Ani016198,gene_Ani015026,gene_Ani032493
GO:0001510	gene_Ani004894,gene_Ani002881,gene_Ani009804,gene_Ani009805,gene_Ani001293,gene_Ani010080,gene_Ani024827,gene_Ani024822,gene_Ani014150
GO:0035278	gene_Ani000854,gene_Ani029889,gene_Ani001922,gene_Ani018872,gene_Ani015540,gene_Ani025523,gene_Ani000928,gene_Ani016301
GO:0006661	gene_Ani031910
GO:0006096	gene_Ani027327,gene_Ani021428,gene_Ani022434,gene_Ani031542,gene_Ani019596,gene_Ani024732,gene_Ani018002,gene_Ani025315,gene_Ani024543,gene_Ani028742,gene_Ani031837,gene_Ani028243,gene_Ani025869,gene_Ani027907,gene_Ani019595,gene_Ani017001,gene_Ani031550,gene_Ani019824,gene_Ani015695,gene_Ani028277,gene_Ani032189,gene_Ani006575,gene_Ani000798,gene_Ani015696,gene_Ani011956,gene_Ani008212
GO:0042176	gene_Ani003639,gene_Ani016286,gene_Ani012291
GO:0032367	gene_Ani011191,gene_Ani011192,gene_Ani030774,gene_Ani022647
GO:0009249	gene_Ani011195,gene_Ani007165
GO:0006465	gene_Ani011194,gene_Ani003261,gene_Ani031810,gene_Ani010402,gene_Ani005994,gene_Ani018103,gene_Ani006824,gene_Ani032616
GO:0016233	gene_Ani005931,gene_Ani018423,gene_Ani006561,gene_Ani005772,gene_Ani005771,gene_Ani012555
GO:0007264	gene_Ani003329,gene_Ani014076,gene_Ani027479,gene_Ani006261,gene_Ani028438,gene_Ani019148,gene_Ani012265,gene_Ani021625,gene_Ani031805,gene_Ani028383,gene_Ani008744,gene_Ani027529,gene_Ani007753,gene_Ani025012,gene_Ani027992,gene_Ani027993,gene_Ani016859,gene_Ani020511,gene_Ani008908,gene_Ani031264,gene_Ani017175,gene_Ani011249,gene_Ani027229,gene_Ani021177,gene_Ani028886,gene_Ani028558,gene_Ani006263,gene_Ani027498,gene_Ani008660,gene_Ani015360,gene_Ani011367,gene_Ani000379,gene_Ani029201,gene_Ani030155,gene_Ani013999,gene_Ani031173,gene_Ani000877,gene_Ani002663,gene_Ani005085,gene_Ani005086,gene_Ani012766,gene_Ani001196,gene_Ani026163,gene_Ani002641,gene_Ani003784,gene_Ani023194,gene_Ani023192,gene_Ani033255,gene_Ani004168,gene_Ani004166,gene_Ani028165,gene_Ani011250,gene_Ani000547,gene_Ani002496,gene_Ani023359,gene_Ani007205,gene_Ani020706,gene_Ani029424,gene_Ani027963,gene_Ani027965,gene_Ani003058,gene_Ani029677,gene_Ani020723,gene_Ani006602,gene_Ani001372,gene_Ani018039,gene_Ani025725,gene_Ani017375,gene_Ani017376,gene_Ani004903,gene_Ani014824,gene_Ani018111,gene_Ani017601,gene_Ani025325,gene_Ani012671,gene_Ani017704,gene_Ani017705,gene_Ani014077,gene_Ani021149,gene_Ani033350,gene_Ani029421,gene_Ani021082,gene_Ani026738,gene_Ani001297,gene_Ani001123,gene_Ani030195,gene_Ani027524,gene_Ani020660,gene_Ani003712,gene_Ani003710,gene_Ani023435,gene_Ani031808,gene_Ani006397,gene_Ani026161,gene_Ani024630,gene_Ani024631,gene_Ani002127,gene_Ani023623,gene_Ani020822,gene_Ani000635,gene_Ani000637,gene_Ani015027,gene_Ani021006,gene_Ani017703,gene_Ani019627,gene_Ani030131,gene_Ani029420,gene_Ani021972,gene_Ani023303,gene_Ani030304,gene_Ani017173,gene_Ani021179,gene_Ani003348,gene_Ani024629,gene_Ani010773,gene_Ani027244,novel4043,gene_Ani029426,gene_Ani007755,gene_Ani029041
GO:0036265	gene_Ani014217
GO:0030488	gene_Ani014217,gene_Ani030083,gene_Ani010106,gene_Ani023991
GO:0031175	gene_Ani008917,gene_Ani006243,gene_Ani006240,gene_Ani001342,gene_Ani016600,gene_Ani009731,gene_Ani008916,gene_Ani029032,gene_Ani004041,gene_Ani032084,novel6033,gene_Ani018722
GO:0008284	gene_Ani019081,gene_Ani031971,gene_Ani018281,gene_Ani015368,gene_Ani021649,gene_Ani015392,gene_Ani019215,gene_Ani003822,gene_Ani023237,gene_Ani031617,gene_Ani026423,gene_Ani021841,gene_Ani016381,gene_Ani023551,gene_Ani023432,gene_Ani003810,gene_Ani025039,gene_Ani022061,gene_Ani002645
GO:0006816	gene_Ani019082,gene_Ani024715,gene_Ani005369,gene_Ani026383,gene_Ani005231,gene_Ani018268,gene_Ani000376,gene_Ani008339,gene_Ani019294,gene_Ani011365,gene_Ani000958,gene_Ani017186,gene_Ani017450,gene_Ani028384,gene_Ani013026,gene_Ani004900,gene_Ani013020,gene_Ani031884,gene_Ani007229,gene_Ani007278,gene_Ani012861,gene_Ani033204,gene_Ani007279
